Vivado Simulator 2020.2
Time resolution is 1 ps
Loading instruction memory from: D:/Vivado_Projects/RISC_SOC_v2/program.dat
IMEM[0] = 0401000a
IMEM[1] = 04020014
IMEM[2] = 00221800
T=0 | PC=xxxxxxxx | INSTR=xxxxxxxx | ALU=xxxxxxxx
T=5000 | PC=00000000 | INSTR=0401000a | ALU=0000000a
T=25000 | PC=00000004 | INSTR=04020014 | ALU=00000014
T=35000 | PC=00000008 | INSTR=00221800 | ALU=0000001e
T=45000 | PC=0000000c | INSTR=0c030000 | ALU=00000000
T=55000 | PC=00000010 | INSTR=08040000 | ALU=00000000
T=65000 | PC=00000014 | INSTR=10640001 | ALU=00000000
T=75000 | PC=0000001c | INSTR=00223004 | ALU=0000001e
T=85000 | PC=00000020 | INSTR=18000000 | ALU=00000000
T=95000 | PC=00000000 | INSTR=0401000a | ALU=0000000a
T=105000 | PC=00000004 | INSTR=04020014 | ALU=00000014
T=115000 | PC=00000008 | INSTR=00221800 | ALU=0000001e
T=125000 | PC=0000000c | INSTR=0c030000 | ALU=00000000
T=135000 | PC=00000010 | INSTR=08040000 | ALU=00000000
T=145000 | PC=00000014 | INSTR=10640001 | ALU=00000000
T=155000 | PC=0000001c | INSTR=00223004 | ALU=0000001e
T=165000 | PC=00000020 | INSTR=18000000 | ALU=00000000
T=175000 | PC=00000000 | INSTR=0401000a | ALU=0000000a
T=185000 | PC=00000004 | INSTR=04020014 | ALU=00000014
T=195000 | PC=00000008 | INSTR=00221800 | ALU=0000001e
T=205000 | PC=0000000c | INSTR=0c030000 | ALU=00000000
T=215000 | PC=00000010 | INSTR=08040000 | ALU=00000000
T=225000 | PC=00000014 | INSTR=10640001 | ALU=00000000
T=235000 | PC=0000001c | INSTR=00223004 | ALU=0000001e
T=245000 | PC=00000020 | INSTR=18000000 | ALU=00000000
T=255000 | PC=00000000 | INSTR=0401000a | ALU=0000000a
T=265000 | PC=00000004 | INSTR=04020014 | ALU=00000014
T=275000 | PC=00000008 | INSTR=00221800 | ALU=0000001e
T=285000 | PC=0000000c | INSTR=0c030000 | ALU=00000000
T=295000 | PC=00000010 | INSTR=08040000 | ALU=00000000
T=305000 | PC=00000014 | INSTR=10640001 | ALU=00000000
T=315000 | PC=0000001c | INSTR=00223004 | ALU=0000001e
$finish called at time : 320 ns : File "D:/Vivado_Projects/RISC_SOC_v3/RISC_SOC_v3.srcs/sim_1/imports/new/cpu_tb.v" Line 34
